Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-2015,ADANIPORTS,EQ,319.05,319,322.5,316.25,318.35,319.55,319.63,1456204,4.65E+13,16777,177991,0.1222
02-01-2015,ADANIPORTS,EQ,319.55,319.35,325.8,318.05,319.3,319.35,321.61,2894058,9.31E+13,36823,1036496,0.3581
05-01-2015,ADANIPORTS,EQ,319.35,320.45,327.5,319.35,323.75,323.8,324.37,2099786,6.81E+13,34920,773016,0.3681
06-01-2015,ADANIPORTS,EQ,323.8,321.65,331.45,315.6,321.7,321.85,323.73,3672197,1.19E+14,44136,978986,0.2666
07-01-2015,ADANIPORTS,EQ,321.85,321.95,328.7,317.4,321.75,321.1,323.01,2981544,9.63E+13,43175,996993,0.3344
08-01-2015,ADANIPORTS,EQ,321.1,326,337.3,323.55,336.7,334.55,330.87,2932673,9.70E+13,55031,1064595,0.363
09-01-2015,ADANIPORTS,EQ,334.55,339.9,343.1,327.35,331.3,331.15,334.89,3543488,1.19E+14,44647,1569476,0.4429
12-01-2015,ADANIPORTS,EQ,331.15,332.15,335.75,325.55,327.45,328.45,329,2990475,9.84E+13,44860,1443283,0.4826
13-01-2015,ADANIPORTS,EQ,328.45,330.2,331.3,320.75,324,323,326.24,2688701,8.77E+13,43122,1266862,0.4712
14-01-2015,ADANIPORTS,EQ,323,324,333.9,322.65,332.8,331.25,328.02,2272652,7.45E+13,27213,865899,0.381
15-01-2015,ADANIPORTS,EQ,331.25,334,337.3,326.25,330,330.6,330.85,2140699,7.08E+13,25565,912377,0.4262
16-01-2015,ADANIPORTS,EQ,330.6,329.8,334.6,326,331,330.85,330.87,1970666,6.52E+13,49292,784469,0.3981
19-01-2015,ADANIPORTS,EQ,330.85,332.05,334.8,326.6,328.6,328.35,330.58,1362398,4.50E+13,15876,612447,0.4495
20-01-2015,ADANIPORTS,EQ,328.35,329,332.65,326.85,329.7,330.5,330.21,1091657,3.60E+13,19264,387652,0.3551
21-01-2015,ADANIPORTS,EQ,330.5,330.35,333.5,326.2,328.55,329.35,328.91,1514648,4.98E+13,19478,739341,0.4881
22-01-2015,ADANIPORTS,EQ,329.35,329.05,331.65,327,328.8,329.4,329.42,1376133,4.53E+13,29388,686897,0.4992
23-01-2015,ADANIPORTS,EQ,329.4,332,352.75,330.1,345.3,346.9,342.24,7519790,2.57E+14,124460,2628704,0.3496
27-01-2015,ADANIPORTS,EQ,346.9,348,349.45,340.9,344.25,345.15,344.53,2928237,1.01E+14,49431,971955,0.3319
28-01-2015,ADANIPORTS,EQ,345.15,343.4,350,333.9,337.65,339.25,342.41,3391819,1.16E+14,48217,814463,0.2401
