Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Will_Grow
2015-01-01,ADANIPORTS,EQ,319.05,319.0,322.5,316.25,318.35,319.55,319.63,1456204.0,46500000000000.0,16777.0,177991.0,0.1222,0
2015-01-04,ADANIPORTS,EQ,308.2,308.45,312.05,306.1,311.05,310.95,309.21,1026200.0,31700000000000.0,21529.0,361057.0,0.3518,1
2015-01-06,ADANIPORTS,EQ,323.85,325.8,325.8,308.25,309.9,311.55,316.88,3889157.0,123000000000000.0,60039.0,1731656.0,0.4453,0
2015-01-07,ADANIPORTS,EQ,307.9,308.8,312.7,306.5,311.0,311.3,310.77,2854143.0,88700000000000.0,37795.0,1932899.0,0.6772,1
2015-01-09,ADANIPORTS,EQ,355.45,344.95,354.75,339.0,341.95,342.25,345.56,3654461.0,126000000000000.0,79376.0,1720902.0,0.4709,0
2015-01-10,ADANIPORTS,EQ,299.0,302.95,307.1,298.5,305.35,305.05,302.37,4450444.0,135000000000000.0,45309.0,2705501.0,0.6079,0
2015-01-12,ADANIPORTS,EQ,267.7,269.0,269.35,261.1,263.0,263.25,264.13,5104457.0,135000000000000.0,74107.0,3256409.0,0.638,1
2015-02-01,ADANIPORTS,EQ,319.55,319.35,325.8,318.05,319.3,319.35,321.61,2894058.0,93100000000000.0,36823.0,1036496.0,0.3581,1
2015-02-02,ADANIPORTS,EQ,341.05,339.5,343.9,333.0,333.9,335.9,337.53,1735161.0,58600000000000.0,30467.0,451557.0,0.2602,0
2015-02-03,ADANIPORTS,EQ,330.75,334.5,335.6,325.6,331.1,330.35,330.0,2592113.0,85500000000000.0,46958.0,804934.0,0.3105,0
2015-02-06,ADANIPORTS,EQ,311.55,318.1,321.0,306.2,312.15,309.15,313.23,7395219.0,232000000000000.0,92094.0,3231909.0,0.437,1
2015-02-07,ADANIPORTS,EQ,311.3,312.45,319.0,311.9,318.5,316.05,315.32,8669541.0,273000000000000.0,43805.0,7232864.0,0.8343,1
2015-02-09,ADANIPORTS,EQ,342.25,344.0,347.45,332.95,333.7,334.55,338.66,4886043.0,165000000000000.0,63074.0,2908579.0,0.5953,0
2015-02-11,ADANIPORTS,EQ,296.25,293.1,302.7,290.1,295.2,295.55,296.37,7004865.0,208000000000000.0,113411.0,2435838.0,0.3477,0
2015-02-12,ADANIPORTS,EQ,263.25,263.7,265.8,260.05,260.2,261.4,262.59,3928835.0,103000000000000.0,57933.0,2292505.0,0.5835,1
2015-03-02,ADANIPORTS,EQ,335.9,336.3,336.95,326.05,328.0,327.8,330.29,1537152.0,50800000000000.0,49659.0,563214.0,0.3664,1
2015-03-03,ADANIPORTS,EQ,330.35,332.5,339.05,332.0,336.0,336.55,336.0,2016305.0,67700000000000.0,33294.0,746491.0,0.3702,0
2015-03-06,ADANIPORTS,EQ,309.15,311.0,311.8,288.0,298.8,297.25,297.75,24022178.0,715000000000000.0,146495.0,12622642.0,0.5255,1
2015-03-07,ADANIPORTS,EQ,316.05,319.95,325.75,319.0,320.9,320.8,322.37,5189498.0,167000000000000.0,49536.0,3365179.0,0.6485,1
2015-03-08,ADANIPORTS,EQ,325.0,326.0,331.9,324.0,330.95,330.7,329.69,2834386.0,93400000000000.0,34828.0,1898968.0,0.67,1
2015-03-09,ADANIPORTS,EQ,334.55,337.5,344.75,336.1,340.3,339.4,340.11,2448672.0,83300000000000.0,35083.0,1024768.0,0.4185,0
2015-03-11,ADANIPORTS,EQ,295.55,298.35,301.5,290.3,291.25,291.2,294.78,3207025.0,94500000000000.0,45210.0,1186971.0,0.3701,0
