Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Will_Grow,SMA_5,SMA_10,SMA_20,Return_1D,Volatility_10,High_Low_Ratio,Open_Close_Ratio,Volume_SMA_10,Volume_Ratio,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,RSI_14
2015-03-08,ADANIPORTS,EQ,325.0,326.0,331.9,324.0,330.95,330.7,329.69,2834386.0,93400000000000.0,34828.0,1898968.0,0.67,1,322.62,312.98,313.96500000000003,0.03086034912718194,0.11582681354364098,1.0243827160493826,0.9857877230117932,6748402.2,0.42000845770573664,320.8,5189498.0,297.25,24022178.0,336.55,2016305.0,47.80160788004147
2015-03-09,ADANIPORTS,EQ,334.55,337.5,344.75,336.1,340.3,339.4,340.11,2448672.0,83300000000000.0,35083.0,1024768.0,0.4185,0,324.94,316.005,314.9575,0.02630783187178709,0.11325369263473391,1.0257363879797678,0.9944018856806129,6253747.5,0.3915527449741135,330.7,2834386.0,320.8,5189498.0,297.25,24022178.0,49.37930683151239
2015-03-11,ADANIPORTS,EQ,295.55,298.35,301.5,290.3,291.25,291.2,294.78,3207025.0,94500000000000.0,45210.0,1186971.0,0.3701,0,315.87,313.52,313.96999999999997,-0.1420153211549794,0.12351629308390061,1.0385807785049948,1.0245535714285716,5707495.9,0.561897030885296,339.4,2448672.0,330.7,2834386.0,320.8,5189498.0,41.835001315989444
2015-03-12,ADANIPORTS,EQ,261.4,259.95,262.95,256.85,256.85,258.85,259.78,5427457.0,141000000000000.0,38574.0,3577157.0,0.6591,1,308.18999999999994,305.95,311.335,-0.11109203296703285,0.12597449314384157,1.0237492700019466,1.0042495653853583,5761637.3,0.9419990737702285,291.2,3207025.0,339.4,2448672.0,330.7,2834386.0,37.67460316400461
2015-04-02,ADANIPORTS,EQ,327.8,329.45,333.0,319.25,321.4,321.25,326.59,2792395.0,91200000000000.0,34847.0,1031201.0,0.3693,1,308.28,308.52,311.8325,0.24106625458759878,0.14444691298629062,1.043069694596711,1.0255252918287938,5340390.3,0.5228821945841674,258.85,5427457.0,291.2,3207025.0,339.4,2448672.0,48.34544576436021
2015-04-03,ADANIPORTS,EQ,336.55,339.9,343.3,330.1,331.0,332.0,337.57,1846535.0,62300000000000.0,39442.0,517546.0,0.2803,1,308.53999999999996,315.58000000000004,311.32,0.033463035019455356,0.13670092869761435,1.0399878824598605,1.0237951807228916,5132160.3,0.3597968286376402,321.25,2792395.0,258.85,5427457.0,291.2,3207025.0,49.93571350985437
2015-04-05,ADANIPORTS,EQ,317.55,325.55,353.0,321.05,349.0,347.2,336.92,6375610.0,215000000000000.0,99806.0,2608812.0,0.4092,0,310.1,317.52,313.4275,0.04578313253012034,0.11295017675590455,1.099517209157452,0.93764400921659,5616006.1,1.1352569577871363,332.0,1846535.0,321.25,2792395.0,258.85,5427457.0,52.177595992642445
2015-04-06,ADANIPORTS,EQ,297.25,301.0,316.35,301.0,310.3,311.2,310.06,6343813.0,197000000000000.0,80177.0,2101953.0,0.3313,1,314.1,314.985,315.825,-0.10368663594470051,0.11837713659501257,1.050996677740864,0.9672236503856041,6048756.9,1.0487796261079694,347.2,6375610.0,332.0,1846535.0,321.25,2792395.0,46.82896133636144
2015-04-08,ADANIPORTS,EQ,330.7,332.25,340.3,329.6,340.25,339.15,336.3,4458398.0,150000000000000.0,61932.0,2561641.0,0.5746,1,330.15999999999997,319.175,316.815,0.08981362467866316,0.11400665312964291,1.0324635922330097,0.979655019902698,4092378.9,1.0894392012430716,311.2,6343813.0,347.2,6375610.0,332.0,1846535.0,51.02640475577985
2015-04-09,ADANIPORTS,EQ,339.4,338.0,342.65,330.0,339.4,339.35,334.92,2104869.0,70500000000000.0,36092.0,898125.0,0.4267,0,333.78000000000003,321.03000000000003,316.9875,0.0005897095680378328,0.11208465015572239,1.0383333333333333,0.9960218063945778,3783916.0,0.5562673695716289,339.15,4458398.0,311.2,6343813.0,347.2,6375610.0,51.056178979336494
2015-04-11,ADANIPORTS,EQ,291.2,293.45,295.2,287.55,289.2,289.45,290.54,2575040.0,74800000000000.0,55093.0,1386363.0,0.5384,0,325.27,316.905,314.9425,-0.14704582289671442,0.1222586006694856,1.02660406885759,1.0138193124892037,3757981.4,0.6852189316317532,339.35,2104869.0,339.15,4458398.0,311.2,6343813.0,43.88699769329001
